driverID,firstName,middleName,lastName,nickname,sex,homeAddress,birthdate,location,personalNumber,emailAddress,contactPerson_Name,contactPerson_Number,contactPerson_Relationship,bloodType,religion,civilStatus,height,weight,driver_status,date_joined,licenseNumber1,licenseExpiry1,licenseType1,licenseRestrictions1,familybg_ID,father_name,father_companyNumber,father_birthdate,father_occupation,mother_name,mother_companyNumber,mother_birthdate,mother_occupation,sibling_name1,sibling_companyNumber1,sibling_birthdate1,sibling_occupation1,sibling_name2,sibling_companyNumber2,sibling_birthdate2,sibling_occupation2,children_name1,children_birthdate1,children_name2,children_birthdate2,personcrt_name1,personcrt_relationship1,personcrt_name2,personcrt_relationship2,workexperience_ID,workEmployer1,workNumber1,workFrom1,workTo1,workPosition1,workReasonForLeaving1,workEmployer2,workNumber2,workFrom2,workTo2,workPosition2,workReasonForLeaving2,workEmployer3,workNumber3,workFrom3,workTo3,workPosition3,workReasonForLeaving3,educationalbg_ID,m_schoolName,m_from,m_to,m_awards,c_schoolName,c_from,c_to,c_awards,s_schoolName,s_from,s_to,s_awards,e_schoolName,e_from,e_to,e_awards,o_schoolName,o_from,o_to,o_awards,specialSkills
182854797,Nam Joon,,Kim,RM,male,"Lot 9 Block 10 BTS Street, Metro Manila",2003-05-15T16:00:00.000Z,Metro Manila,65,RM0516@gmail.com,Kyung Min Kim,561,Sister,1,15,j,5,,"[""1"",""3""]",2021-05-22T16:00:00.000Z,D01-34-3456789,2021-07-05T16:00:00.000Z,Non-Professional,"[""1"",""2""]",182854797,new,123,2003-05-13T16:00:00.000Z,,new,123,2003-05-14T16:00:00.000Z,,new,123,1110-12-31T17:04:35.000Z,,,0,1799-12-31T17:04:35.000Z,,new,1799-12-31T17:04:35.000Z,new,1799-12-31T17:04:35.000Z,new,new,new,,182854797,"Employer 1, Address 1",71117111,2016,2016,Position 1,Reason 1,"Employer 2, Address 2",72227222,2017,2017,Position 2,Reason 2,"Employer 3, Address 3",73337333,2018,2019,Position 3,Reason 3,182854797,School 4,2016,2017,Degree 4,School 3,2014,2015,Degree 3,School 2,0,2011,Degree 2,School 1,2005,2006,Degree 1,School 5,2020,2021,Degree 5,Singing 
212574223,Jose,,Rizal,Jose,male,"Lot 8 Block 7 Noli Street, Laguna",2003-05-12T16:00:00.000Z,Laguna,09171234567,joserizal0513@gmail.com,Leonor Valenzuela,1,Girlfriend,,,Single,,,"""1""",2021-05-26T16:00:00.000Z,324324,2021-07-01T16:00:00.000Z,Non-Professional,"""1""",212574223,a,0,2003-05-06T16:00:00.000Z,,a,0,2003-05-15T16:00:00.000Z,1,,0,1111-11-10T17:04:35.000Z,,,0,1111-11-10T17:04:35.000Z,,,1111-11-10T17:04:35.000Z,,1111-11-10T17:04:35.000Z,,,,,212574223,,0,0,0,,,,0,0,0,,,,0,0,0,,,212574223,,0,0,,,0,0,,a,1,1,,a,1,1,,,0,0,,
231727384,Seok Jin,,Kim,Jin,male,"Lot 10 Block 10 BTS Street, Metro Manila",2003-05-04T16:00:00.000Z,Metro Manila,3381237,jin0505@gmail.com,Seok Joong Kim,3434,Brother,,,asfd,,,"""3""",2021-05-22T16:00:00.000Z,81237,2021-05-24T16:00:00.000Z,Professional,"""1""",231727384,asdfsdf,0,2003-05-06T16:00:00.000Z,,adfasf,0,2003-05-05T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,2021-05-03T16:00:00.000Z,,,1799-12-31T17:04:35.000Z,,1799-12-31T17:04:35.000Z,,,,,231727384,,0,0,0,,,,0,0,0,,,,0,0,0,,,231727384,,0,0,,,0,0,,123,123,1232,,123312,123,1231,,,0,0,Best in Math,
538130574,Yoon Gi,,Min,Suga,male,"Lot 11 Block 10 BTS Street, Metro Manila",2003-05-19T16:00:00.000Z,Metro Manila,09123732781,suga0520@gmail.com,Geumjae Min,21391238,Brother,,,married,,,"""4""",2021-05-22T16:00:00.000Z,3131,2021-05-17T16:00:00.000Z,Professional,"[""1"",""2""]",538130574,asfasdf,0,2003-05-06T16:00:00.000Z,,asdf,0,2003-05-06T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,2021-04-26T16:00:00.000Z,,,1799-12-31T17:04:35.000Z,,1799-12-31T17:04:35.000Z,,,,,538130574,,0,0,0,,,,0,0,0,,,,0,0,0,,,538130574,,0,0,,,0,0,,asdf,343,343,,helloworld,8123,8123,,,0,0,,
580390514,Ji Soo,J,Park,Jihyo,female,"Lot 10 Block 10 Twice Street, Metro Manila",2003-05-25T16:00:00.000Z,Metro Manila,1,jihyo0526@gmail.com,Seoyeon,2,Sister,,,Single,,,"""1""",2021-05-24T16:00:00.000Z,123,2021-05-31T16:00:00.000Z,Professional,"[""1"",""5""]",580390514,father,0,2003-05-25T16:00:00.000Z,,mother,0,2003-05-25T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,1799-12-31T17:04:35.000Z,,,1799-12-31T17:04:35.000Z,,1799-12-31T17:04:35.000Z,,,,,580390514,,0,0,0,,,,0,0,0,,,,0,0,0,,,580390514,,0,0,,,0,0,,school2,2004,2005,,school1,2002,2004,,,0,0,,
669293536,Ho Seok,,Jung,J-Hope,male,"Lot 12 Block 10 BTS Street, Metro Manila",2000-06-02T16:00:00.000Z,Metro Manila,1,jhope0508@gmail.com,Mejiwoo,1,Sister,1,1,a,1,1,"[""1"",""2"",""5""]",2021-05-22T16:00:00.000Z,423424,2021-07-01T16:00:00.000Z,Non-Professional,"""1""",669293536,a,0,2003-05-13T16:00:00.000Z,,a,0,2003-05-05T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,1111-11-10T17:04:35.000Z,,,1111-11-10T17:04:35.000Z,,1111-11-10T17:04:35.000Z,,,,,669293536,,0,0,0,,,,0,0,0,,,,0,0,0,,,669293536,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
678547884,Ji Min,,Park,Jimin,male,"Lot 13 Block 10 BTS Street, Metro Manila",2002-05-29T16:00:00.000Z,Metro Manila,3434,jimin0519@gmail.com,Park Jihyun,3434,Brother,,,asdasf,,,"[""1"",""2""]",2021-05-22T16:00:00.000Z,231234234,2021-07-05T16:00:00.000Z,Professional,"[""1"",""2""]",678547884,asdfsdf,0,2003-05-19T16:00:00.000Z,,asdfasf,0,2003-05-04T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,1799-12-31T17:04:35.000Z,,,1799-12-31T17:04:35.000Z,,1799-12-31T17:04:35.000Z,,,,,678547884,asdf,0,0,0,,,,0,0,0,,,,0,0,0,,,678547884,,0,0,,,0,0,,asdf,123,1232,,asfd134,123,123,,,0,0,,
733356001,a,a,a,a,male,1,2003-05-14T16:00:00.000Z,Alabang,1,1@aa.com,a,1,a,1,1,a,1,1,"""7""",2021-05-26T16:00:00.000Z,D-123456789,2021-07-07T16:00:00.000Z,Non-Professional,"""1""",733356001,a,0,2003-05-01T16:00:00.000Z,,a,0,2003-05-07T16:00:00.000Z,,,0,1110-12-31T17:04:35.000Z,,,0,1110-12-31T17:04:35.000Z,,,1110-12-31T17:04:35.000Z,,1110-12-31T17:04:35.000Z,,,,,733356001,,0,0,0,,,,0,0,0,,,,0,0,0,,,733356001,,0,0,,,0,0,,,0,0,,,0,0,,,0,0,,
796401572,Tae Hyung,,Kim,V,male,"Lot 14 Block 10 BTS Street, Metro Manila",2003-05-13T16:00:00.000Z,Metro Manila,3434,v0514@gmail.com,Kim Eun Jin,3434,Sister,,,asdfasdf,,,"""6""",2021-05-22T16:00:00.000Z,12313,2021-06-29T16:00:00.000Z,Professional,"[""1"",""2""]",796401572,asdasdf,0,2003-05-22T16:00:00.000Z,,adfasdf,0,2003-05-21T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,1799-12-31T17:04:35.000Z,,,1799-12-31T17:04:35.000Z,,1799-12-31T17:04:35.000Z,,,,,796401572,,0,0,0,,,,0,0,0,,,,0,0,0,,,796401572,,0,0,,,0,0,,asdf,23,23,,afasdf,23,23,,,0,0,,
870798781,Na Yeon,,Im,Nayeon,female,"Lot 16 Block 8 Twice Street, Laguna",2003-05-15T16:00:00.000Z,Laguna,1,hansllaguno@gmail.com,Jisoo,1,Friend,,,Single,,,"""1""",2021-05-25T16:00:00.000Z,12,2021-06-28T16:00:00.000Z,Non-Professional,"""1""",870798781,father,0,2003-05-25T16:00:00.000Z,,mother,0,2003-05-25T16:00:00.000Z,,,0,1111-11-10T17:04:35.000Z,,,0,1111-11-10T17:04:35.000Z,,,1111-11-10T17:04:35.000Z,,1111-11-10T17:04:35.000Z,,,,,870798781,,0,0,0,,,,0,0,0,,,,0,0,0,,,870798781,,0,0,,,0,0,,school2,2004,2006,,school1,2002,2004,,,0,0,,
